ID,NAME,POP 2010,LATITUDE,LONGITUDE
129,Parcelas de Navarro,1568,18.2301054,-66.0041595
130,Los Prados,2129,18.233037,-66.062108
131,Caguas,82243,18.2341217,-66.0484989
132,El Mang_,1482,18.2341225,-65.879608
133,Duque,1320,18.2394011,-65.7504401
134,Hacienda San Jose,3531,18.2408967,-66.072085
135,Las Mar_as,806,18.2518983,-66.9921225
136,Aguas Claras,3006,18.252734,-65.6534952
137,Las Carolinas,2570,18.2541209,-66.0648881
138,Gurabo,7609,18.2543987,-65.9729421
139,Aguas Buenas,4204,18.2568989,-66.1029442
140,Bairoa,-999,18.2591206,-66.0404432
141,Bairoa La Vienticinco,399,18.2635667,-66.0214987
142,Ceiba,5633,18.2641226,-65.6484951
143,Utuado,8397,18.2655095,-66.7004519
144,Lomas,956,18.2685651,-65.908775
145,Celada,4081,18.2716202,-65.9659977
146,Ben_tez,1409,18.272533,-65.8788312
147,Espino,1270,18.2763407,-67.1193464
148,A_asco,5075,18.2827291,-67.1396245
149,La Playa,1900,18.2874507,-67.1868475
150,La Liga,281,18.2904606,-66.0494961
151,Cayuco,1120,18.2910639,-66.7393414
152,Lares,4917,18.2946746,-66.8771211
153,Naranjito,1655,18.3007861,-66.2448904
154,Luis M. Cintr_n,2290,18.3013841,-65.6378333
155,Culebra,1590,18.3030119,-65.3009914
156,Juncal,994,18.3138402,-66.9190661
157,Stella,1088,18.3218929,-67.2468473
158,Morovis,2032,18.325785,-66.4065592
159,Fajardo,28930,18.3257869,-65.6523838
160,Cruz Bay,-999,18.331343,-64.7937497
161,Ciales,2591,18.3360622,-66.4687823
162,San Sebasti_n,9622,18.3366166,-66.9901782
163,Campo Rico,3006,18.3371732,-65.8979419
164,Ramos,1821,18.3396747,-65.7126621
165,Fr_nquez,1948,18.3400704,-66.427623
166,Rinc_n,1456,18.3402252,-67.2499027
167,Corozal,10160,18.3410622,-66.3168357
168,Charlotte Amalie,-999,18.3419004,-64.9307007
169,H. Rivera Col_n,2456,18.3481999,-66.273292
170,Barahona,2469,18.3513393,-66.4454485
171,Trujillo Alto,48437,18.3546719,-66.0073876
172,Hato Arriba,676,18.3557821,-67.0340678
173,Quebrada,995,18.3566164,-66.8321206
174,Guaynabo,75443,18.3574502,-66.1109998
175,Bartolo,1311,18.361339,-65.8384971
176,Florida,4711,18.3624494,-66.5612836
177,Galateo,2585,18.3624501,-66.2587795
178,Luyando,2886,18.3643923,-67.1574031
179,Las Croabas,1053,18.3646741,-65.6259948
180,P_jaros,10122,18.3685609,-66.2168343
181,Palmer,1032,18.3705058,-65.7740519
182,Luquillo,7761,18.3724507,-65.7165511
183,Hato Candal,2055,18.3743944,-65.7871076
184,La Dolores,3081,18.3755049,-65.8557195
185,Can_vanas,7297,18.3782623,-65.9056191
186,Aguada,3212,18.3793913,-67.1882365
187,Playa Fortuna,1690,18.3796724,-65.7451628
188,R_o Grande,12677,18.380227,-65.8312749
189,Carolina,157832,18.3807819,-65.9573872
190,Pajonal,742,18.3821709,-66.5557279
191,Miranda,1804,18.3866158,-66.3837811
192,Toa Alta,3713,18.3882823,-66.2482237
193,Mucarabones,1561,18.3907821,-66.216001
194,San Isidro,6828,18.3921707,-65.8854421
195,Moca,3861,18.3946688,-67.1132356
196,R_o Lajas,2373,18.394671,-66.2676685
197,Santa B_rbara,4622,18.3951386,-65.9175508
198,La Alianza,1947,18.3974475,-66.6023952
199,San Jos_,2900,18.3982819,-66.2557238
200,Bayam_n,185996,18.3985595,-66.1557224
201,Rafael Cap_,1700,18.3997792,-66.7908004
202,Candelaria,16760,18.4041147,-66.2087786
203,Vega Alta,10266,18.4121703,-66.3312805
204,Candelaria Arenas,4818,18.4171697,-66.2173898
205,B_falo,949,18.4174168,-66.574928
206,Campanilla,6868,18.4213363,-66.2368345
207,Rafael Gonz_lez,2303,18.42639,-66.787123
208,Bajadero,3710,18.4266134,-66.6832302
209,Sabana Seca,9705,18.4268914,-66.1846115
210,Aguadilla,13310,18.4274454,-67.1540698
211,Manat_,14011,18.4274472,-66.4921159
212,Su_rez,1931,18.4302244,-65.8534974
213,Coto Norte,1604,18.4307804,-66.4398929
214,Lo_za,3875,18.4313354,-65.8801645
215,Tiburones,1616,18.4316132,-66.5807283
216,Sabana Hoyos,1783,18.4338352,-66.6137846
217,Piedra Gorda,1937,18.4341129,-66.8876774
218,Cacao,1001,18.4366125,-66.9371226
219,Monserrate,2592,18.4366136,-66.3596141
220,Imb_ry,3899,18.4370825,-66.5564848
221,Cata_o,28140,18.4413351,-66.1182218
222,Ingenio,5354,18.4421686,-66.226001
223,Aceitunas,1436,18.4432783,-67.0649026
224,Toa Baja,1513,18.4438353,-66.2596126
225,Vega Baja,25905,18.4443909,-66.38767
226,Cab_n,3334,18.4448321,-67.1357037
227,Animas,1203,18.4455016,-66.6348964
228,San Antonio,7574,18.4488351,-66.302669
229,La Luisa,2590,18.4488352,-66.5098939
230,Levittown,26960,18.4499458,-66.1815558
231,Barceloneta,3785,18.4505017,-66.5385055
232,Alianza,2569,18.4516123,-66.85351
233,Garrochales,1086,18.453557,-66.5662837
234,Corcovado,1405,18.4585569,-66.7762868
235,Dorado,13258,18.4588347,-66.2676683
236,Sabana,1630,18.4607792,-66.358503
237,Tierras Nuevas Poniente,3228,18.4618902,-66.4885047
238,Mora,1583,18.4629997,-67.0326798
239,San Juan,381931,18.4663338,-66.1057217
240,Rafael Hern_ndez,1351,18.4718548,-67.078585
241,Arecibo,44191,18.472445,-66.7157306
242,Bre_as,3373,18.4732986,-66.3346087
243,Quebradillas,5282,18.473833,-66.938512
244,Carrizales,2738,18.4818891,-66.7898983
245,Camuy,3704,18.4838331,-66.8448994
246,Hatillo,4439,18.4863331,-66.8254545
247,Isabela,11255,18.500776,-67.0243462
248,Na'alehu,866,19.0698268,-155.5750969
249,Honu_apo,-999,19.089495,-155.5487251
250,Punalu_u,-999,19.1369532,-155.5046028
251,Miloli_i,-999,19.18603,-155.90621
252,Pahala,1356,19.1994246,-155.4792836
253,Kalapana,-999,19.35245,-154.98005
254,Volcano,2575,19.4277439,-155.2346706
255,Opihikao,-999,19.4280706,-154.8819813
256,Glenwood,-999,19.4878132,-155.1513612
257,Pahoa,945,19.4961067,-154.9454525
258,Captain Cook,3429,19.4969444,-155.9216667
259,Honalo,2423,19.542441,-155.9286547
260,Keauhou,-999,19.56064,-155.96226
261,Kea'au,2253,19.6155627,-155.037204
262,Holualoa,8538,19.6230029,-155.9314174
263,Kailua,11975,19.6392732,-155.9902382
264,Hilo,43263,19.722474,-155.0868273
265,Pauka'a,425,19.7624916,-155.0911939
266,Papa'ikou,1314,19.7918377,-155.0941142
267,Pepe'ekeo,1789,19.83171,-155.10438
268,Honomu,509,19.8694141,-155.1130486
269,Weloka,-999,19.9588884,-155.1984501
270,Puako,772,19.9715337,-155.8402061
271,Papa_aloa,-999,19.9751459,-155.2203147
272,Laupahoehoe,581,19.9760833,-155.23759
273,'O_okala,-999,20.0141608,-155.2841946
274,Waimea,9212,20.0230556,-155.6716667
275,Kawaihae,-999,20.0353877,-155.8264643
276,Pa'auilo,595,20.0397516,-155.3696679
277,Honoka'a,2258,20.0746345,-155.465712
278,Mahukona,-999,20.1840872,-155.9000198
279,Niuli_i,-999,20.2222876,-155.7442082
280,Hawi,1081,20.2391194,-155.8305517
281,Makena,99,20.6282536,-156.4283538
282,'Ulupalakua,-999,20.648688,-156.398234
283,Kipahulu,-999,20.6547099,-156.0552595
284,Wailea,5938,20.689732,-156.441899
285,Manele,29,20.7419746,-156.901169
286,Waiakoa,-999,20.7600466,-156.3277245
287,Kihei,20881,20.7633381,-156.4490059
288,Hana,1235,20.771608,-156.0084769
289,Kaumalapau,-999,20.7870085,-156.9893531
290,Ma'alaea,352,20.7995495,-156.4928946
291,Olowalu,80,20.8108616,-156.6215297
292,Lana'i City,3102,20.8279223,-156.9151814
293,Waikapu,2965,20.8391608,-156.5220386
294,Wailua,-999,20.8452164,-156.1326313
295,Makawao,7184,20.8493548,-156.316694
296,Hali'imaile,964,20.8670704,-156.3381346
297,Lahaina,11704,20.87429,-156.67663
298,Kahului,26337,20.8820295,-156.4735937
299,Wailuku,15313,20.8896075,-156.5010595
300,Pa'ia,2668,20.9094185,-156.3697409
301,Waiehu,-999,20.919034,-156.4946651
302,Ka'anapali,1045,20.9288894,-156.6833787
303,Waihe_e,-999,20.9308991,-156.5100288
304,Kahakuloa,-999,20.9959204,-156.5491676
305,Honokahua,-999,20.9984195,-156.6587305
306,Kamalo,-999,21.0502334,-156.8746422
307,Kalua_aha,-999,21.06664,-156.82061
308,Ualapu'e,425,21.0687049,-156.8354766
309,Kaunakakai,3425,21.0896357,-157.0173984
310,Maunaloa,376,21.132114,-157.2113204
311,Ho_olehua,-999,21.1675244,-157.0688081
312,Kalaupapa,-999,21.1894648,-156.9817693
313,Honolulu,-999,21.3069444,-157.8583333
314,Kapolei,15186,21.33371,-158.06562
315,Ko Olina,1799,21.3377742,-158.1186197
316,Waimanalo,5451,21.3420696,-157.7302386
317,'Ewa,-999,21.3441667,-158.0308333
318,Makakilo,18248,21.3469444,-158.0858333
319,Nanakuli,12666,21.38410238,-158.1425456
320,'Aiea,9338,21.3864663,-157.9231834
321,Waipahu,38216,21.3866667,-158.0091667
322,Kailua,38635,21.4022222,-157.7394444
323,Waikele,7479,21.402559,-158.0058019
324,Pearl City,47698,21.4039032,-157.9575535
325,Kane'ohe,34597,21.4087496,-157.7887943
326,Ma'ili,9488,21.414343,-158.1750842
327,Mililani,27629,21.4482285,-158.0141996
328,Wai'anae,13177,21.4528559,-158.1810603
329,Kahalu'u,4738,21.4580951,-157.8416971
330,Makaha,8278,21.4678487,-158.2163895
331,Wahiawa,17821,21.5003965,-158.019972
332,Waialua,3860,21.5733244,-158.1277657
333,Punalu'u,1164,21.5831963,-157.8900458
334,Hale'iwa,3970,21.5891723,-158.1077513
335,Hau'ula,4148,21.611233,-157.9091774
336,La'ie,6138,21.6453766,-157.9237604
337,Pupukea,4551,21.6483582,-158.06208
338,Pu_uwai,-999,21.900964,-160.2016711
339,Koloa,2144,21.9029601,-159.461075
340,Ele'ele,2390,21.9054346,-159.5819445
341,Hanapepe,2638,21.9133114,-159.587849
342,Kalaheo,4595,21.9159149,-159.5236211
343,Lawa'i,2363,21.9203941,-159.5006704
344,Waimea,1855,21.957069,-159.6689261
345,Kekaha,3537,21.9668608,-159.7118623
346,Lihu'e,6455,21.9729709,-159.3530838
347,Hanama'ulu,3835,21.9954675,-159.348372
348,Mana,-999,22.0358296,-159.76941
349,Wailua,2254,22.0492228,-159.3352206
350,Kapa'a,10699,22.07497003,-159.3181431
351,Anahola,2223,22.1422622,-159.3138837
352,Hanalei,450,22.2016937,-159.5031218
353,Kilauea,2803,22.210945,-159.3959362
354,Princeville,2158,22.2175824,-159.4788847
355,Ha'ena,431,22.2185038,-159.5610952
356,Key West,24649,24.5557025,-81.7825914
357,Summerland Key,-999,24.6656987,-81.4423048
358,Big Pine Key,4252,24.6698652,-81.353969
359,Marathon,8297,24.7137524,-81.0903512
360,Key Colony Beach,797,24.7209744,-81.0186827
361,Marathon Shores,-999,24.7256965,-81.0484058
362,Duck Key,621,24.7709723,-80.9120139
363,Layton,184,24.8240255,-80.8136783
364,Islamorada,6119,24.9242995,-80.6278404
365,Plantation Key,-999,24.98284451,-80.5487754
366,Tavernier,2136,25.0115186,-80.5150608
367,Key Largo,10433,25.0865151,-80.4472802
368,Flamingo,-999,25.1417914,-80.9253491
369,Florida City,11245,25.4478898,-80.4792237
370,Homestead,60512,25.4687224,-80.4775569
371,Leisure City,22655,25.4953878,-80.4292223
372,Naranja,8303,25.5181647,-80.4228333
373,Princeton,22038,25.5384417,-80.408944
374,Goulds,10103,25.5626072,-80.3822765
375,Cutler Bay,40286,25.5783,-80.3377
376,South Miami Heights,35696,25.597606,-80.3806096
377,Perrine,-999,25.6051055,-80.3536645
378,Palmetto Bay,23410,25.6217715,-80.3247748
379,Richmond Heights,8541,25.6314936,-80.3689426
380,Pinecrest,18223,25.6670476,-80.3081074
381,Kendall,75371,25.6792695,-80.3172743
382,Key Biscayne,12344,25.693713,-80.1628248
383,South Miami,11657,25.7076017,-80.2933846
384,Glenvar Heights,16898,25.7076018,-80.3256076
385,Coral Gables,46780,25.72149,-80.2683838
386,Westwood Lakes,11838,25.7237481,-80.3716518
387,Olympia Heights,13488,25.726768,-80.3553306
388,Ludlam,-999,25.7337119,-80.3014402
389,Westchester,29862,25.7548224,-80.3272741
390,West Miami,5965,25.7634331,-80.2961621
391,Sweetwater,13499,25.7634334,-80.3731086
392,Miami,399457,25.7742658,-80.1936589
393,Miami Beach,87779,25.790654,-80.1300455
394,Virginia Gardens,2375,25.8103758,-80.3022732
395,Chokoloskee,359,25.8128798,-81.3620233
396,Doral,45704,25.8195424,-80.3553302
397,Miami Springs,13809,25.8223198,-80.289495
398,Medley,838,25.8406526,-80.3264404
399,North Bay Village,7137,25.8462075,-80.1539351
400,El Portal,2325,25.8553739,-80.193103
401,Hialeah,224669,25.8575963,-80.2781057
402,Everglades,400,25.8576597,-81.3861568
403,Miami Shores,10493,25.8631515,-80.1928253
404,Hialeah Gardens,21744,25.8650961,-80.3244958
405,Indian Creek Village,86,25.8781508,-80.1361566
406,Surfside,5744,25.8784285,-80.1256007
407,Biscayne Park,3055,25.8825951,-80.1806025
408,Bay Harbor Islands,5628,25.8875948,-80.1311564
409,North Miami,58786,25.8900949,-80.1867138
410,Bal Harbour,2513,25.8917613,-80.1269896
411,Pennsuco,-999,25.8950952,-80.3781082
412,Ochopee,-999,25.9014871,-81.3034103
413,Brownsville,175023,25.9017472,-97.4974838
414,Opa-locka,15219,25.9023168,-80.2503271
415,Miami Lakes,29361,25.9087056,-80.3086619
416,Bunche Park,-999,25.9206495,-80.2369932
417,Goodland,267,25.9248211,-81.6456412
418,North Miami Beach,41523,25.9331488,-80.1625463
419,Marco Island,16413,25.9332355,-81.7009866
420,Miami Gardens,107167,25.9420377,-80.2456045
421,Sunny Isles Beach,20832,25.9506481,-80.1228227
422,Copeland,-999,25.9537075,-81.3559114
423,Aventura,35762,25.9564812,-80.1392121
424,Golden Beach,919,25.9650919,-80.1222671
425,Hallandale Beach,37113,25.9812025,-80.148379
426,San Pedro,530,25.9817456,-97.5963774
427,West Park,14156,25.984536,-80.1989362
428,Miramar,122041,25.9873137,-80.2322706
429,Pembroke Park,6102,25.9878691,-80.1747687
430,Jerome,-999,25.9973168,-81.3467442
431,Pembroke Pines,154750,26.0031465,-80.223937
432,Hollywood,140768,26.0112014,-80.1494901
433,West Hollywood,-999,26.0206457,-80.1839357
434,Olmito,1210,26.0217447,-97.5341534
435,Rancho Viejo,2437,26.0395222,-97.5563763
436,La Paloma,2903,26.0459111,-97.667491
437,Los Indios,1083,26.0492445,-97.7449935
438,Dania Beach,29639,26.052311,-80.1439343
439,Cooper City,28547,26.0573112,-80.271716
440,Southwest Ranches,7345,26.0587001,-80.3372733
441,Davie,91992,26.0628665,-80.2331038
442,Los Fresnos,5542,26.0717438,-97.4763733
443,Port Isabel,5006,26.0734119,-97.2085844
444,Bluetown,356,26.074244,-97.8230522
445,Santa Maria,733,26.0786883,-97.8494421
446,Laguna Heights,3488,26.0800784,-97.2538639
447,Relampago,132,26.0850771,-97.9186116
448,Hacienda Village,-999,26.0853655,-80.2011583
449,Naples Manor,5562,26.0887041,-81.7261977
450,Indian Lake,640,26.0892433,-97.5024853
451,Fern Crest Village,-999,26.0892543,-80.2192144
452,Rangerville,289,26.0897992,-97.7486046
453,Progreso,5507,26.0922991,-97.9572242
454,Riverland,-999,26.0939763,-80.1867133
455,Pine Island Ridge,-999,26.0948098,-80.2739383
456,Hidalgo,11198,26.1003547,-98.2630684
457,Weston,65333,26.1003654,-80.3997748
458,Laguna Vista,3117,26.1009111,-97.2902543
